,adr_pct,gap_pct,volvol,dollar_vol_m,price,n_trades,sum_ret,avg_ret,win
AMGN,2.5330100229579227,0.6591807275281891,0.41816515429638135,971.7185555862519,414.1549987792969,4,0.4409157466500594,0.11022893666251485,True
TMUS,2.955172017584369,1.1059035199321512,0.35685974358621203,978.4750170295018,180.35000610351562,2,-0.022238472815378107,-0.011119236407689054,False
GILD,2.743270182719316,0.6869886951620672,0.4125440649379293,1003.4300623688857,134.77999877929688,1,-0.1464215997693012,-0.1464215997693012,False
DHR,2.900880779368091,0.942425283918029,0.7277989531939697,938.5922927832713,206.92999267578125,2,-0.06344092437017651,-0.031720462185088255,False
HPE,5.660912559477633,2.4128411724672088,0.9146428628240679,1245.491691978593,54.89500045776367,1,0.2403593406194592,0.2403593406194592,True
ETN,3.58110351551413,1.5612280539439638,0.33964114078785734,990.2296883638977,460.8450012207031,2,0.30644593501504636,0.15322296750752318,True
PM,2.5848696711440624,0.7253970316352552,0.34806736785087,914.2176263161713,185.35000610351562,1,-0.4078852186080413,-0.4078852186080413,False
FLEX,6.144937787586125,2.409465803628503,1.4959418345654687,929.1865198521244,120.87999725341797,7,0.44703278775942146,0.0638618268227745,True
SPGI,2.742622352265322,0.8486257687478473,0.39575832618539525,939.8642901760243,410.6400146484375,4,0.8559242291392598,0.21398105728481495,True
SCHW,2.2760142623965898,0.5277856472685889,0.4074614856882792,981.5671359162227,108.08999633789062,3,-0.1195250056863684,-0.039841668562122796,False
FCX,3.8832254587266655,1.693493911591355,0.2711227616010982,898.3117534178625,68.91500091552734,2,1.76032804023737,0.880164020118685,True
FIX,5.12566872644097,2.1073248041929253,0.4227875809612248,905.6411379332947,1697.4549560546875,1,-0.6335191424713437,-0.6335191424713437,False
NET,5.398979915725455,1.3294709278587953,0.41092639882460535,944.1510335884836,311.19000244140625,5,1.9240316112315035,0.3848063222463007,True
FTNT,4.155976743068273,1.0462610393111094,0.40384566156179286,899.6421930183357,162.38999938964844,2,0.4437471287224267,0.22187356436121336,True
BSX,3.1317976239026,1.1545932447729266,0.44666035699287654,983.6101087539752,50.9900016784668,1,-0.1870644460511858,-0.1870644460511858,False
CEG,3.534107970392498,1.0914903400571454,0.46856333610728335,934.7362411277924,276.75,2,-0.6524998402998459,-0.32624992014992293,False
CMCSA,3.05771578213211,1.00695226219064,0.4893543823025153,839.2652037268472,25.405000686645508,4,-1.1932208983555992,-0.2983052245888998,False
RDDT,6.270211261401934,1.6663128696175016,0.7594633470825576,870.8148105733368,159.80999755859375,1,-0.3033132893376742,-0.3033132893376742,False
MCK,2.568745322978117,0.7883128334553539,0.38937147982861064,895.2242012896322,897.3699951171875,4,0.0903013200049051,0.022575330001226274,True
PWR,3.843149195430626,1.49787669425538,0.6631280430464105,844.1480121185913,670.260009765625,1,-0.2864587012013294,-0.2864587012013294,False
VLO,3.5462997456644296,1.1445136691293407,0.35477182007811053,811.2628989592977,321.9425048828125,2,-0.4491401566684454,-0.2245700783342227,False
CDNS,3.7807967577912716,1.2914419749283752,0.4600350905284019,870.588795016276,324.2900085449219,3,-0.9645806036824494,-0.3215268678941498,False
CVS,2.396887403331101,0.6991403640892896,0.4075849976722634,807.1664862664167,94.08000183105469,1,-0.1605144513825453,-0.1605144513825453,False
BLK,2.359383213973002,0.7274174801866303,0.37550908841072794,811.760948965973,1145.6099853515625,1,-0.1570506849416778,-0.1570506849416778,False
DASH,4.53697796013117,0.9365739107164315,0.3208307326804561,821.3061041371682,214.60499572753906,4,-1.2443529123788908,-0.3110882280947227,False
UNP,2.173357053876647,0.5199190639146283,0.3814412042546738,827.8457968218007,291.0849914550781,2,-0.5849391447712315,-0.2924695723856158,False
NEM,3.2314337152476127,1.8377987819797306,0.3159807859207888,817.0446321293309,117.65579986572266,3,-0.27208997707578136,-0.09069665902526046,False
CME,2.7423465527872675,0.7154065199282147,0.4792668591664512,835.4777777489309,261.1099853515625,2,-0.3393186792037919,-0.16965933960189594,False
SBUX,2.599397305373867,0.5486909097980238,0.4015257526582774,788.4509895811528,106.44999694824219,2,-0.2951130112933117,-0.14755650564665584,False
WELL,2.463228375185848,0.48725837241006215,0.4388655259512681,782.6031352194982,228.16000366210938,1,-0.2022656039629104,-0.2022656039629104,False
BMY,2.5731517868602065,0.5588989295739846,0.46107572904161337,728.097019708166,63.66999816894531,2,0.4071712900586687,0.20358564502933435,True
ROKU,2.542783390949971,0.5805074786704921,1.1435426778470863,606.3895938958199,151.7899932861328,1,-0.1112157618028274,-0.1112157618028274,False
HLT,2.2666062818067063,0.5670618473727207,0.8193325101065756,675.2078098107605,313.0799865722656,1,-0.2247484410809763,-0.2247484410809763,False
RCL,3.9511122542012895,1.1999607101977479,0.4629021347796099,765.6372040433466,305.4800109863281,3,-1.1306521103398472,-0.3768840367799491,False
ORLY,2.711633487734295,0.8056100701525062,0.4412101020794497,698.3844349114,93.24500274658203,2,0.08286828505219479,0.041434142526097395,True
CVNA,5.448865521433764,1.3974948502700377,0.5143854157662799,719.2587983342439,71.4800033569336,2,-0.5467212086468218,-0.2733606043234109,False
