stage,run,window,overrides,total_return,cagr,sharpe,max_drawdown,profit_multiple_vs_spy,n_trades,win_rate,avg_R,profit_factor,avg_exposure,n_triggered,elapsed_s
vcp_shape,"{""vcp.min_contractions"": 3, ""vcp.final_depth_max"": 0.1, ""vcp",IS2010,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.1, ""vcp.min_contractions"": 3, ""vcp.vdu_ratio_max"": 1.0}",0.5724,0.0669,0.528,-0.387,0.449,576,0.2552,0.108,1.168,0.7141,576,9.0
vcp_shape,"{""vcp.min_contractions"": 3, ""vcp.final_depth_max"": 0.1, ""vcp",IS2004,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.1, ""vcp.min_contractions"": 3, ""vcp.vdu_ratio_max"": 1.0}",0.7485,0.0977,0.744,-0.2007,5.788,396,0.3056,0.191,1.348,0.5852,396,7.0
vcp_shape,"{""vcp.min_contractions"": 3, ""vcp.final_depth_max"": 0.1, ""vcp",IS2010,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.contraction_ratio_max"": 0.75, ""vcp.final_depth_max"": 0.1, ""vcp.min_contractions"": 3, ""vcp.vdu_ratio_max"": 1.0}",0.311,0.0395,0.33,-0.4403,0.244,653,0.2619,0.076,1.083,0.784,653,8.7
geometry,"{""vcp.swing_window"": 2, ""vcp.pivot_max_below_base_high"": 0.0",IS2004,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 15, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.1, ""vcp.min_contractions"": 2, ""vcp.pivot_max_below_base_high"": 0.05, ""vcp.swing_window"": 2, ""vcp.vdu_ratio_max"": 1.0}",1.2289,0.143,1.104,-0.1333,9.502,384,0.2943,0.249,1.675,0.5871,384,9.1
geometry,"{""vcp.swing_window"": 2, ""vcp.pivot_max_below_base_high"": 0.0",IS2010,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 15, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.1, ""vcp.min_contractions"": 2, ""vcp.pivot_max_below_base_high"": 0.05, ""vcp.swing_window"": 2, ""vcp.vdu_ratio_max"": 1.0}",0.4553,0.0552,0.424,-0.2798,0.357,716,0.2486,0.069,1.134,0.7832,716,13.3
geometry,"{""vcp.swing_window"": 2, ""vcp.pivot_max_below_base_high"": 0.0",IS2004,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 30, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.1, ""vcp.min_contractions"": 2, ""vcp.pivot_max_below_base_high"": 0.05, ""vcp.swing_window"": 2, ""vcp.vdu_ratio_max"": 1.0}",0.648,0.0869,0.873,-0.1065,5.011,248,0.3065,0.272,1.642,0.4233,248,6.5
geometry,"{""vcp.swing_window"": 2, ""vcp.pivot_max_below_base_high"": 0.0",IS2010,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 30, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.1, ""vcp.min_contractions"": 2, ""vcp.pivot_max_below_base_high"": 0.05, ""vcp.swing_window"": 2, ""vcp.vdu_ratio_max"": 1.0}",0.26,0.0336,0.326,-0.2581,0.204,515,0.266,0.094,1.113,0.6304,515,10.4
geometry,"{""vcp.swing_window"": 2, ""vcp.pivot_max_below_base_high"": 0.1",IS2004,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 15, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.1, ""vcp.min_contractions"": 2, ""vcp.pivot_max_below_base_high"": 0.15, ""vcp.swing_window"": 2, ""vcp.vdu_ratio_max"": 1.0}",1.5809,0.1713,1.282,-0.1417,12.225,430,0.3093,0.306,1.736,0.6066,430,9.3
geometry,"{""vcp.swing_window"": 2, ""vcp.pivot_max_below_base_high"": 0.1",IS2010,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 15, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.1, ""vcp.min_contractions"": 2, ""vcp.pivot_max_below_base_high"": 0.15, ""vcp.swing_window"": 2, ""vcp.vdu_ratio_max"": 1.0}",0.3305,0.0417,0.335,-0.3646,0.259,760,0.2487,0.081,1.09,0.7956,760,14.8
geometry,"{""vcp.swing_window"": 2, ""vcp.pivot_max_below_base_high"": 0.1",IS2004,"{""entry.bo_vol_mult"": 1.4, ""entry.rank_by"": ""rs"", ""tt.rs_percentile_min"": 70.0, ""vcp.base_min_days"": 30, ""vcp.contraction_ratio_max"": 0.5, ""vcp.final_depth_max"": 0.1, ""vcp.min_contractions"": 2, ""vcp.pivot_max_below_base_high"": 0.15, ""vcp.swing_window"": 2, ""vcp.vdu_ratio_max"": 1.0}",0.7567,0.0985,0.914,-0.1115,5.851,278,0.295,0.246,1.588,0.4513,278,7.2
