symbol,entry_time,exit_time,entry,exit,ret_pct,bars_held,reason,risk_pct,taken
FTNT,2026-07-29 14:43:00-04:00,2026-07-29 14:54:00-04:00,151.42,153.34,1.2080168283538963,11,target,0.4226722761179655,True
FLEX,2026-07-29 14:43:00-04:00,2026-07-29 15:01:00-04:00,104.7999,106.9593,2.000478445046334,18,target,0.6868261483487781,True
CVNA,2026-07-29 14:46:00-04:00,2026-07-29 15:04:00-04:00,68.96,68.79,-0.30651088168111995,18,stop,0.24651088168111993,True
MPWR,2026-07-29 14:52:00-04:00,2026-07-29 15:07:00-04:00,1315.3101,1309.115,-0.5309968055743748,15,stop,0.4287966054819381,True
GLW,2026-07-29 14:56:00-04:00,2026-07-29 15:07:00-04:00,129.8,129.19,-0.5299509779988377,11,stop,0.4699509779988377,True
FTNT,2026-07-29 15:17:00-04:00,2026-07-29 15:50:00-04:00,153.35,152.27,-0.7642696996314696,33,stop,0.7042696996314696,True
DDOG,2026-07-30 09:55:00-04:00,2026-07-30 10:05:00-04:00,269.2,267.24,-0.788091338699076,10,stop,0.5943635894927904,True
MSFT,2026-07-30 10:30:00-04:00,2026-07-30 10:58:00-04:00,450.3,446.99,-0.7950673955387347,28,stop,0.7350673955387347,True
AMAT,2026-07-30 10:31:00-04:00,2026-07-30 10:44:00-04:00,506.475,503.35,-0.6770118977094145,13,stop,0.6170118977094146,True
CEG,2026-07-30 10:33:00-04:00,2026-07-30 10:46:00-04:00,269.69,268.84,-0.37517171394915366,13,stop,0.3151717139491537,True
VLO,2026-07-30 10:58:00-04:00,2026-07-30 10:58:00-04:00,309.45,308.89,-0.24097214039603818,0,stop,0.18097214039603818,True
NET,2026-07-30 11:24:00-04:00,2026-07-30 11:27:00-04:00,282.965,282.105,-0.3639193407991655,3,stop,0.16786399167316765,True
FLEX,2026-07-30 11:44:00-04:00,2026-07-30 11:44:00-04:00,109.18,108.975,-0.2477630465755784,0,stop,0.18776304657557844,True
FLEX,2026-07-30 11:49:00-04:00,2026-07-30 11:52:00-04:00,109.66,109.1962,-0.4829453523884632,3,stop,0.42294535238846326,True
MSFT,2026-07-30 12:06:00-04:00,2026-07-30 12:10:00-04:00,452.29,454.33,0.3910404810705379,4,target,0.15034682702351262,True
ORCL,2026-07-30 12:15:00-04:00,2026-07-30 12:21:00-04:00,126.27,125.76,-0.4639007559482234,6,stop,0.4039007559482234,True
FLEX,2026-07-30 12:20:00-04:00,2026-07-30 12:33:00-04:00,110.165,109.645,-0.5320192490917841,13,stop,0.47201924909178405,True
APP,2026-07-30 12:55:00-04:00,2026-07-30 13:24:00-04:00,401.95,405.67,0.8654891502710215,29,target,0.3084963834236738,True
WDC,2026-07-30 13:19:00-04:00,2026-07-30 13:26:00-04:00,530.01,527.5401,-0.5260082143202452,7,stop,0.46600821432024525,True
SNDK,2026-07-30 13:19:00-04:00,2026-07-30 13:22:00-04:00,1270.46,1263.9901,-0.5692509288147727,3,stop,0.5092509288147727,True
GS,2026-07-30 13:23:00-04:00,2026-07-30 13:34:00-04:00,1024.12,1022.74,-0.19474840558733525,11,stop,0.13474840558733525,True
ORCL,2026-07-30 13:24:00-04:00,2026-07-30 13:36:00-04:00,126.71,127.3457,0.4416838521507433,12,target,0.16722795071691443,True
MSFT,2026-07-30 13:30:00-04:00,2026-07-30 13:35:00-04:00,456.11,456.9801,0.13075630486222722,5,target,0.06358543495407575,True
GS,2026-07-30 14:43:00-04:00,2026-07-30 15:01:00-04:00,1023.86,1027.0549,0.25204938240117075,18,target,0.10401646080039025,True
AMD,2026-07-30 15:09:00-04:00,2026-07-30 15:21:00-04:00,489.97,488.99,-0.26001050516742824,12,stop,0.20001050516742827,True
QCOM,2026-07-30 15:09:00-04:00,2026-07-30 15:15:00-04:00,151.56,151.25,-0.26454147317992327,6,stop,0.20454147317992327,True
TER,2026-07-30 15:10:00-04:00,2026-07-30 15:24:00-04:00,366.45,365.11,-0.4256726198092994,14,stop,0.3656726198092994,True
SNDK,2026-07-30 15:10:00-04:00,2026-07-30 15:12:00-04:00,1272.6599,1267.71,-0.4489437886358415,2,stop,0.3889437886358415,True
APP,2026-07-30 15:19:00-04:00,2026-07-30 15:55:00-04:00,401.85,402.45,0.08931339420397012,36,eod,0.405620347497012,True
AMZN,2026-07-31 11:53:00-04:00,2026-07-31 12:16:00-04:00,268.68,271.1701,0.8667843174294455,23,target,0.30892810580981517,True
GOOGL,2026-07-31 12:24:00-04:00,2026-07-31 12:30:00-04:00,353.64,354.54,0.19449505866532463,6,target,0.08483168622177487,True
LIN,2026-07-31 12:24:00-04:00,2026-07-31 13:17:00-04:00,479.46,477.635,-0.44064137715228485,53,stop,0.38064137715228485,True
GOOG,2026-07-31 12:24:00-04:00,2026-07-31 12:36:00-04:00,353.48,353.1101,-0.16464935767335462,12,stop,0.1046493576733546,True
MA,2026-07-31 13:13:00-04:00,2026-07-31 13:17:00-04:00,574.245,573.93,-0.11485166056145774,4,stop,0.054851660561457745,True
META,2026-07-31 15:03:00-04:00,2026-07-31 15:55:00-04:00,552.155,556.5084,0.7284386026243709,52,eod,0.2834428539001819,True
