score,total_return_pct,ann_return_pct,n_trades,win_rate,profit_factor,expectancy_pct,max_dd_pct,sharpe,avg_bars_held,timeframe,require_above_vwap,momentum_mode,momentum_lookback,momentum_min_gain_atr,hod_dist_atr,hod_day_gain_atr,relvol_min,pullback_def,min_pullback_bars,max_pullback_bars,rsi_filter,rsi_min,rsi_max,macd_filter,macd_rising,stop_mode,stop_atr_mult,stop_pct,stop_cap_pct,target_mode,target_rr,target_pct,trail_mode,trail_atr_mult,trail_pct,trail_activate_rr,entry_start_min,entry_end_min,eod_exit_min
-56.17821506505545,-3.9826011477690493,-16.18798692149399,84,47.61904761904762,0.5369845349679463,-0.19275799464192162,-4.391227834572793,-5.658506111996531,4.083333333333333,15m,True,either,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,930,955
-56.85753870273258,-3.8971418596386087,-15.36074150193122,269,31.226765799256505,0.8420794098015586,-0.05822177808594724,-5.920793686187954,-2.480200859291713,7.907063197026022,5m,True,hod,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-57.60425886493795,-5.033591874220056,-19.48122156065836,210,33.333333333333336,0.7531798071175598,-0.09749044132940601,-5.141333981435784,-3.8675941164986596,9.438095238095238,5m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-59.18829075976193,-5.212139616700096,-20.11443542633642,314,32.48407643312102,0.8327553813427206,-0.06712818062493028,-7.952302286123661,-3.277359894907981,9.780254777070065,5m,True,hod,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-59.50841740579128,-6.299735837108377,-23.890064936007725,222,31.08108108108108,0.6925942188647778,-0.11656420629946067,-6.417363137365799,-4.74063843858033,7.22972972972973,5m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-60.06942624491849,-6.6190383251254925,-59.04600754075731,348,32.18390804597701,0.5961319866238249,-0.0785501746013885,-6.900775839586,-11.410358842446886,4.844827586206897,1m,True,hod,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-60.50373077642571,-6.935238106638386,-60.81735898678456,467,31.905781584582442,0.6776220474633314,-0.061369185346517405,-7.136985339574648,-12.45820099129183,4.845824411134903,1m,True,hod,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-60.9409301416022,-6.673414761458963,-25.155397937314405,336,33.63095238095238,0.7988579441981588,-0.08122240084333371,-8.53503076028648,-3.690499815059877,10.770833333333334,5m,True,surge,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-60.94761309360126,-7.298408729067507,-62.764430483121124,341,31.085043988269796,0.5744886256191644,-0.08869763577694804,-7.298408729067509,-12.863883735250106,8.697947214076246,1m,True,hod,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-61.167712042031845,-6.888234029505325,-25.875517400995907,330,31.818181818181817,0.7700345813603402,-0.08569287340467734,-8.558956025053035,-4.130757157035521,8.327272727272728,5m,True,either,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-61.66071249978143,-7.656149278778235,-28.40667014053967,272,28.676470588235293,0.6942628026189318,-0.11644823836385945,-8.009126442006396,-5.212421979811207,6.613970588235294,5m,True,hod,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-62.046412732894254,-8.030941821929504,-66.42282931295938,505,30.89108910891089,0.607621109237571,-0.06618286396739557,-8.030941821929503,-14.638349212589665,4.7306930693069305,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-62.226549906813325,-8.151033271208885,-66.98990310950225,477,32.285115303983225,0.6410563758141453,-0.0711057260249081,-8.151033271208885,-11.715317246191521,10.68763102725367,1m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-62.641660416654744,-8.380818068245578,-30.734384840933803,341,31.378299120234605,0.7226360820156927,-0.10201962497498726,-8.52168469681833,-5.469886261170769,6.9530791788856305,5m,True,either,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-62.99029271155379,-8.660195141035864,-69.29733772443103,721,33.841886269070734,0.7591191827066031,-0.049987277849647356,-8.660195141035858,-12.284472918054597,12.045769764216367,1m,True,surge,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-63.62721102259802,-8.995575151682223,-32.663466167092956,342,29.53216374269006,0.7174073954418411,-0.10950082652822479,-9.263271741831588,-6.0392627379326305,6.681286549707602,5m,True,hod,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-64.07153511468822,-9.381023409792144,-72.3101180963526,806,34.11910669975186,0.7655466827765938,-0.04861474882623569,-9.38102340979215,-10.086987040773058,11.885856079404466,1m,True,either,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-64.07685520802285,-9.384570138681902,-72.32424225178458,356,30.89887640449438,0.40349750738015244,-0.11060598872672277,-9.384570138681898,-16.988387245582494,5.0,1m,True,hod,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,930,955
-64.68494938556918,-9.734100495056786,-73.68400187034806,360,29.166666666666668,0.3789689716451952,-0.11368303454458827,-9.901697781024792,-16.220362131429024,4.011111111111111,1m,True,hod,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,930,955
-65.26209848055112,-9.63304101414556,-34.62030972958402,407,31.203931203931205,0.7555639882038039,-0.09858274949084152,-11.258114932811111,-5.605857436214594,9.963144963144963,5m,True,either,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-65.40033109560912,-10.266887397072743,-36.52279645156506,226,35.84070796460177,0.401291387671045,-0.1913409783924836,-10.266887397072743,-11.682467529908012,5.429203539823009,5m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,930,955
