symbol,entry_date,year,r,pnl,win,reason,hold,n_contractions,final_depth,first_depth,tighten_ratio,vdu_ratio,base_len_days,pivot_vs_top,wait_days,regime_on
BALL,2012-11-20,2012,0.0382177716187379,437.7811709268808,True,trail_ma,49,5,0.03539,0.07481,0.47306509824889714,0.884,66,0.01937037354227189,14,True
BAP,2006-08-10,2006,5.962535030091161,10243.117443690317,True,target,25,5,0.03657,0.14767,0.24764677998239318,0.5442,61,0.04833336029647306,4,True
BAP,2017-11-07,2017,-0.6890516308485233,-1671.5954471789632,False,trail_ma,2,3,0.02293,0.06183,0.37085557172893413,0.756,32,-0.020904670792563196,4,True
BAP,2018-04-12,2018,-0.7055760641753743,-18891.59187359083,False,trail_ma,25,3,0.05348,0.13009,0.4111000076869859,0.7857,35,-0.04853148978242605,16,True
BAP,2024-08-30,2024,1.6245752858267295,81623.00616919255,True,trail_ma,64,3,0.0279,0.12126,0.2300841167738743,0.6356,19,-0.024022570822063383,3,True
BAX,2019-08-13,2019,0.0306721779881236,1110.610672491528,True,trail_ma,33,3,0.02344,0.06204,0.3778207607994842,0.8127,35,0.07508326787117037,26,True
BBVA,2024-03-06,2024,0.6956054785315091,39898.728084063085,True,trail_ma,39,4,0.0361,0.08484,0.4255068363979255,0.7856,39,0.08695671705859054,1,True
BBVA,2025-07-09,2025,-1.0156715009227508,-41020.33934661169,False,stop,4,4,0.02692,0.17509,0.15374950025701067,0.8046,44,0.1273753971304672,21,True
BBWI,2004-09-15,2004,-0.0274212668798319,-39.204224542998574,False,stop,14,3,0.04069,0.0951,0.42786540483701363,0.9768,32,0.043596762538414824,1,True
BBY,2016-11-11,2016,5.963822313172469,78016.92862568253,True,target,17,3,0.03833,0.09193,0.416947677580768,0.6586,36,0.10431867179109311,28,True
BBY,2018-08-21,2018,-0.5570922146559687,-8784.532938538086,False,stop_gap,5,4,0.04429,0.15457,0.28653684414828234,0.9803,66,-0.002071023523865456,1,True
BCC,2023-06-23,2023,5.961066375312735,203090.26477778296,True,target,13,6,0.03436,0.21652,0.1586920376870497,0.893,83,0.07905494668794955,5,True
BCE,2005-01-13,2005,-0.816861970373218,-1524.4807123916564,False,trail_ma,8,3,0.02758,0.07062,0.3905409232512036,0.7257,30,-0.0013793608203976904,4,True
BCE,2016-05-17,2016,-0.3097076489536118,-2781.814118628481,False,trail_ma,10,6,0.02769,0.08475,0.3267256637168141,0.7153,59,0.19019055659264272,27,True
BCH,2025-09-08,2025,5.97592989907725,242440.09363441757,True,target,96,5,0.03252,0.07876,0.4128999492127984,0.8191,54,-0.06855870060766989,5,True
BCIC,2011-07-01,2011,-0.0168713009227485,-215.15845853349333,False,stop,8,4,0.0329,0.13158,0.25003799969600243,0.5932,33,-0.06780056103003407,31,True
BCO,2026-02-26,2026,-1.0165022391554448,-46321.22196749517,False,stop,1,4,0.04316,0.10184,0.4238020424194815,0.9352,59,0.08569627163655924,26,True
BCPC,2010-04-30,2010,-1.0156715009227495,-2168.880853970445,False,stop,3,4,0.04253,0.19637,0.21658094413606968,0.6085,57,0.13356907420187714,12,True
